store_name,city,state,latitude,longitude,street,zip,store_id,source_url
CVS Pharmacy - ALICEVILLE,Aliceville,AL,33.127,-88.149,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ALBERTVILLE,Albertville,AL,34.266,-86.193,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ANNISTON,Anniston,AL,33.663,-85.826,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ALABASTER,Alabaster,AL,33.239,-86.818,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ALABASTER,Alabaster,AL,33.224,-86.804,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ANDALUSIA,Andalusia,AL,31.318,-86.461,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ARAB,Arab,AL,34.338,-86.503,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - AUBURN,Auburn,AL,32.584,-85.438,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - AUBURN,Auburn,AL,32.608,-85.466,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - AUBURN,Auburn,AL,32.6,-85.481,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - AUBURN,Auburn,AL,32.608,-85.482,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BAY MINETTE,Bay Minette,AL,30.885,-87.775,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - ATHENS,Athens,AL,34.797,-86.953,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BAYOU LA BATRE,Bayou La Batre,AL,30.422,-88.245,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BESSEMER,Bessemer,AL,33.395,-86.969,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BESSEMER,Bessemer,AL,33.335,-86.99,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CALERA,Calera,AL,33.101,-86.753,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.497,-86.804,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.589,-86.697,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.497,-86.877,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.419,-86.696,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.526,-86.719,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.648,-86.634,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.605,-86.637,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.425,-86.713,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - BIRMINGHAM,Birmingham,AL,33.362,-86.853,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CENTRE,Centre,AL,34.159,-85.671,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CHILDERSBURG,Childersburg,AL,33.276,-86.358,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CLANTON,Clanton,AL,32.849,-86.634,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CENTREVILLE,Centreville,AL,32.947,-87.145,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CAMDEN,Camden,AL,31.996,-87.279,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DAPHNE,Daphne,AL,30.619,-87.904,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DAPHNE,Daphne,AL,30.603,-87.896,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - COLUMBIANA,Columbiana,AL,33.179,-86.615,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CULLMAN,Cullman,AL,34.182,-86.847,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - CULLMAN,Cullman,AL,34.151,-86.845,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DECATUR,Decatur,AL,34.561,-87.0,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DECATUR,Decatur,AL,34.559,-86.97,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DOTHAN,Dothan,AL,31.217,-85.362,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
CVS Pharmacy - DOTHAN,Dothan,AL,31.241,-85.48,,,,https://simplemaps.com/static/data/business/1.3/cvs/cvs.csv
